timestamp,value
28 APR,15912
29 APR,4814
30 APR,16302
1 MAY,8124
2 MAY,18481
3 MAY,11512
4 MAY,12926
5 MAY,16059
6 MAY,3125
7 MAY,3768
8 MAY,4198
9 MAY,17384
10 MAY,15180
11 MAY,12726
12 MAY,25859
13 MAY,47208
14 MAY,86091
15 MAY,100697
16 MAY,75802
17 MAY,42547
18 MAY,22532
19 MAY,23382
20 MAY,18373
21 MAY,29879
22 MAY,14449
23 MAY,19574
24 MAY,14922
25 MAY,18726
26 MAY,26560
27 MAY,14741
