timestamp,value
28 APR,365
29 APR,275
30 APR,332
1 MAY,289
2 MAY,304
3 MAY,440
4 MAY,296
5 MAY,526
6 MAY,309
7 MAY,291
8 MAY,299
9 MAY,679
10 MAY,445
11 MAY,469
12 MAY,822
13 MAY,641
14 MAY,381
15 MAY,625
16 MAY,842
17 MAY,423
18 MAY,760
19 MAY,1057
20 MAY,2067
21 MAY,1375
22 MAY,769
23 MAY,450
24 MAY,428
25 MAY,541
26 MAY,2304
27 MAY,1225
